T;Ax;Ay;Az;CLASS
24150.00;-0.57;-0.17;1.03;Positive
24200.00;-0.46;-0.21;0.84;Positive
24250.00;0.40;-0.29;0.05;Positive
24300.00;1.11;-0.23;-0.16;Positive
24350.00;1.37;-0.47;-0.66;Positive
24400.00;0.86;-0.13;0.00;Positive
24450.00;0.93;-0.25;-0.09;Positive
24500.00;1.26;-0.31;-0.24;Positive
24550.00;0.98;-0.26;-0.02;Positive
24600.00;0.76;-0.21;0.13;Positive
24650.00;0.16;-0.21;0.23;Positive
24700.00;-0.90;-0.16;0.44;Positive
24750.00;-1.61;-0.06;0.95;Positive
24800.00;-1.32;0.02;1.07;Positive
24850.00;-0.51;-0.19;0.62;Positive
24900.00;-0.40;-0.18;0.65;Positive
24950.00;-0.68;-0.11;0.80;Positive
25000.00;-0.70;-0.12;0.78;Positive
25050.00;-0.58;-0.14;0.77;Positive
25100.00;-0.64;-0.16;0.80;Positive
25150.00;-0.65;-0.14;0.81;Positive
25200.00;-0.60;-0.13;0.80;Positive
25250.00;-0.62;-0.14;0.79;Positive
25300.00;-0.73;-0.13;0.84;Positive
25350.00;-0.90;-0.08;1.00;Positive
25400.00;-0.79;-0.08;1.00;Positive
25450.00;-0.64;-0.17;1.05;Positive
25500.00;-0.63;-0.12;0.67;Positive
25550.00;0.15;-0.17;-0.70;Positive
25600.00;1.88;-0.18;-1.08;Positive
25650.00;1.45;-0.18;-0.35;Positive
25700.00;0.30;0.06;0.33;Positive
25750.00;1.37;-0.17;-0.16;Positive
25800.00;1.30;-0.25;-0.19;Positive
25850.00;0.72;-0.11;0.11;Positive
25900.00;0.04;-0.14;0.32;Positive
25950.00;-0.72;-0.26;0.58;Positive
26000.00;-1.20;-0.21;0.94;Positive
26050.00;-1.20;-0.16;1.10;Positive
26100.00;-0.63;-0.19;0.86;Positive
26150.00;-0.34;-0.25;0.74;Positive
26200.00;-0.56;-0.18;0.84;Positive
26250.00;-0.60;-0.18;0.80;Positive
26300.00;-0.57;-0.18;0.80;Positive
26350.00;-0.56;-0.17;0.83;Positive
26400.00;-0.56;-0.20;0.84;Positive
26450.00;-0.57;-0.20;0.85;Positive
26500.00;-0.65;-0.19;0.89;Positive
26550.00;-0.68;-0.20;0.98;Positive
26600.00;-0.62;-0.18;1.02;Positive
26650.00;-0.24;-0.22;0.95;Positive
26700.00;-0.25;-0.20;0.86;Positive
26750.00;0.17;-0.21;0.34;Positive
26800.00;0.93;-0.15;-0.28;Positive
26850.00;1.79;-0.18;-0.64;Positive
26900.00;1.02;-0.18;-0.07;Positive
